timestamp,Federal Funds Rates: No change Dissents: >0,Federal Funds Rates: No change Dissents: 0,Federal Funds Rates: 25bp cut Dissents: 0,Federal Funds Rates: 25bp cut Dissents: >0
2025-12-11T20:00:00Z,,4.00,,
2025-12-11T23:00:00Z,82.00,4.00,,21.00
2025-12-12T01:00:00Z,79.00,4.00,,21.00
2025-12-12T03:00:00Z,79.00,4.00,,21.00
2025-12-12T04:00:00Z,85.00,4.00,,21.00
2025-12-12T05:00:00Z,85.00,4.00,,21.00
2025-12-12T09:00:00Z,85.00,4.00,4.00,21.00
2025-12-12T10:00:00Z,85.00,4.00,4.00,21.00
2025-12-12T15:00:00Z,85.00,4.00,4.00,21.00
2025-12-12T18:00:00Z,85.00,4.00,4.00,21.00
2025-12-13T03:00:00Z,78.00,4.00,4.00,21.00
2025-12-13T12:00:00Z,78.00,4.00,4.00,21.00
2025-12-13T19:00:00Z,85.00,4.00,4.00,21.00
2025-12-13T22:00:00Z,84.00,4.00,4.00,21.00
2025-12-14T03:00:00Z,85.00,4.00,4.00,14.00
2025-12-14T04:00:00Z,85.00,4.00,4.00,21.00
2025-12-14T08:00:00Z,85.00,4.00,4.00,21.00
2025-12-14T18:00:00Z,85.00,4.00,4.00,21.00
2025-12-14T19:00:00Z,85.00,4.00,4.00,21.00
2025-12-14T20:00:00Z,85.00,4.00,4.00,21.00
2025-12-14T22:00:00Z,85.00,4.00,4.00,21.00
2025-12-14T23:00:00Z,78.24,4.00,4.00,21.00
2025-12-15T01:00:00Z,78.24,4.00,4.00,21.00
2025-12-15T05:00:00Z,78.24,4.00,4.00,21.00
2025-12-15T08:00:00Z,78.24,4.00,4.00,21.00
2025-12-15T15:00:00Z,85.00,4.00,4.00,22.00
2025-12-15T17:00:00Z,85.00,4.00,4.00,22.00
2025-12-15T18:00:00Z,85.00,4.00,4.00,22.00
2025-12-15T22:00:00Z,85.00,4.00,4.00,22.00
2025-12-16T00:00:00Z,84.44,4.00,4.00,22.00
2025-12-16T01:00:00Z,84.44,4.00,4.00,22.00
2025-12-16T03:00:00Z,85.00,4.00,4.00,22.00
2025-12-16T15:00:00Z,79.00,4.00,4.00,22.00
2025-12-16T17:00:00Z,79.00,4.00,4.00,22.00
2025-12-16T18:00:00Z,79.00,4.00,4.00,27.00
2025-12-16T20:00:00Z,79.00,4.00,4.00,27.00
2025-12-16T21:00:00Z,79.00,4.00,4.00,28.00
2025-12-17T02:00:00Z,79.00,4.00,4.00,28.00
2025-12-17T04:00:00Z,79.00,4.00,4.00,28.00
2025-12-17T18:00:00Z,79.00,4.00,4.00,23.00
2025-12-17T23:00:00Z,80.00,4.00,4.00,23.00
2025-12-18T00:00:00Z,80.00,4.00,4.00,23.00
2025-12-18T02:00:00Z,80.00,4.00,4.00,23.00
2025-12-18T11:00:00Z,80.00,4.00,4.00,28.00
2025-12-18T14:00:00Z,80.00,4.00,4.00,28.00
2025-12-18T15:00:00Z,80.00,4.00,4.00,28.00
2025-12-18T16:00:00Z,73.00,4.00,4.00,28.00
2025-12-18T17:00:00Z,73.00,4.00,4.00,21.07
2025-12-18T18:00:00Z,79.98,4.00,4.00,21.07
2025-12-18T20:00:00Z,79.98,4.00,4.00,25.00
2025-12-19T00:00:00Z,79.98,4.00,4.00,25.00
2025-12-19T01:00:00Z,79.98,4.00,4.00,25.75
2025-12-19T03:00:00Z,79.98,4.00,4.00,25.00
2025-12-19T04:00:00Z,80.00,4.00,4.00,25.00
2025-12-19T07:00:00Z,80.00,4.00,4.00,25.00
2025-12-19T12:00:00Z,80.00,4.00,4.00,25.00
2025-12-19T16:00:00Z,80.00,3.00,4.00,25.00
2025-12-19T23:00:00Z,80.00,3.00,4.00,25.00
2025-12-20T00:00:00Z,80.00,3.00,3.00,25.00
2025-12-20T01:00:00Z,80.00,3.00,3.00,24.00
2025-12-20T04:00:00Z,81.00,3.00,4.00,19.04
2025-12-20T05:00:00Z,81.00,3.00,4.00,23.31
2025-12-20T11:00:00Z,82.00,3.00,4.00,23.31
2025-12-20T13:00:00Z,82.00,3.00,4.00,24.00
2025-12-20T17:00:00Z,82.00,3.00,3.00,24.00
2025-12-20T19:00:00Z,82.00,3.00,3.00,24.00
2025-12-21T00:00:00Z,82.00,3.00,3.00,24.00
2025-12-21T02:00:00Z,77.00,3.00,3.00,24.00
2025-12-21T03:00:00Z,81.00,3.00,3.00,24.00
2025-12-21T08:00:00Z,81.00,3.00,3.00,24.00
2025-12-21T17:00:00Z,81.00,3.00,3.00,24.00
2025-12-21T20:00:00Z,81.00,3.00,3.00,23.00
2025-12-22T05:00:00Z,82.00,3.00,3.00,23.00
2025-12-22T08:00:00Z,82.00,3.00,3.00,24.00
2025-12-22T10:00:00Z,82.00,3.00,3.00,24.00
2025-12-22T13:00:00Z,82.00,3.00,3.00,20.00
2025-12-22T14:00:00Z,82.00,3.00,3.00,19.00
2025-12-22T16:00:00Z,82.00,3.00,3.00,19.00
2025-12-22T18:00:00Z,80.66,3.00,3.00,19.00
2025-12-22T19:00:00Z,80.66,3.00,3.00,18.00
2025-12-23T00:00:00Z,83.00,3.00,3.00,18.00
2025-12-23T05:00:00Z,83.00,3.00,3.00,18.00
2025-12-23T07:00:00Z,83.00,3.00,3.00,19.00
2025-12-23T08:00:00Z,83.00,3.00,3.00,19.00
2025-12-23T18:00:00Z,83.00,3.00,3.00,19.00
2025-12-23T19:00:00Z,83.00,3.00,3.00,19.00
2025-12-23T20:00:00Z,83.00,3.00,3.00,19.00
2025-12-24T02:00:00Z,83.00,3.00,3.00,18.00
2025-12-24T03:00:00Z,83.00,3.00,3.00,18.00
2025-12-24T06:00:00Z,83.00,3.00,3.00,18.00
2025-12-24T07:00:00Z,83.00,3.00,3.00,18.00
2025-12-24T15:00:00Z,83.00,3.00,3.00,18.00
2025-12-24T22:00:00Z,83.00,3.00,3.96,18.00
2025-12-25T03:00:00Z,83.00,3.00,3.00,16.00
2025-12-25T04:00:00Z,83.00,3.00,3.00,23.00
