timestamp,Fed maintains rate,Cut 25bps,Cut >25bps,Hike 25bps,Hike >25bps
2025-10-07T02:00:00Z,,34.00,,,
2025-10-07T03:00:00Z,,34.10,8.00,,
2025-10-07T05:00:00Z,,34.10,10.00,,
2025-10-07T06:00:00Z,,34.10,9.00,,
2025-10-07T12:00:00Z,58.00,34.10,9.00,,
2025-10-07T14:00:00Z,58.00,34.10,9.00,,
2025-10-08T20:00:00Z,58.00,35.00,9.00,,
2025-10-08T23:00:00Z,58.94,35.00,9.00,,
2025-10-17T07:00:00Z,51.62,35.00,9.00,,
2025-10-17T11:00:00Z,50.00,35.00,9.00,,
2025-10-17T13:00:00Z,50.00,35.00,9.00,,
2025-10-20T05:00:00Z,50.00,35.00,8.45,,
2025-10-20T23:00:00Z,49.00,35.00,8.45,,
2025-10-22T02:00:00Z,49.00,40.00,8.45,,
2025-10-22T08:00:00Z,49.00,41.00,8.45,,
2025-10-23T02:00:00Z,49.00,41.00,8.45,,
2025-10-24T07:00:00Z,49.00,42.00,8.45,,
2025-10-24T10:00:00Z,49.00,42.00,10.58,,
2025-10-24T13:00:00Z,49.00,43.77,11.96,,
2025-10-25T04:00:00Z,49.00,44.00,11.96,,
2025-10-25T05:00:00Z,49.00,44.00,11.96,,
2025-10-25T10:00:00Z,49.00,44.00,11.96,,
2025-10-26T05:00:00Z,49.00,44.00,11.96,,
2025-10-28T15:00:00Z,55.17,44.00,11.96,,
2025-10-29T01:00:00Z,55.22,44.00,11.96,,
2025-10-29T21:00:00Z,55.22,44.00,14.96,,
2025-10-30T00:00:00Z,55.22,42.00,14.96,,
2025-10-30T12:00:00Z,55.25,42.00,14.96,,
2025-10-30T13:00:00Z,57.00,42.00,14.96,,
2025-10-31T16:00:00Z,58.00,33.00,14.96,,
2025-11-01T00:00:00Z,58.00,30.00,14.96,,
2025-11-01T01:00:00Z,66.78,27.46,14.96,,
2025-11-01T02:00:00Z,66.78,28.00,14.96,,
2025-11-01T04:00:00Z,66.78,27.67,14.96,,
2025-11-03T10:00:00Z,58.00,27.67,14.96,,
2025-11-05T12:00:00Z,58.00,27.67,8.57,,
2025-11-07T05:00:00Z,57.00,27.67,8.57,,
2025-11-07T10:00:00Z,57.00,27.67,10.00,,
2025-11-07T14:00:00Z,58.00,27.67,10.00,,
2025-11-09T06:00:00Z,58.00,35.72,10.00,,
2025-11-09T10:00:00Z,58.00,36.00,10.00,,
2025-11-09T21:00:00Z,56.00,36.00,10.00,,
2025-11-10T00:00:00Z,56.00,36.74,10.00,,
2025-11-11T22:00:00Z,56.00,37.00,10.00,,
2025-11-11T23:00:00Z,56.00,38.00,10.00,,
2025-11-12T13:00:00Z,65.00,38.00,10.00,,
2025-11-12T14:00:00Z,65.00,35.00,10.00,,
2025-11-12T17:00:00Z,65.00,35.00,10.00,,
2025-11-13T20:00:00Z,57.03,35.00,10.00,,
2025-11-14T06:00:00Z,57.03,35.00,10.00,,
2025-11-14T10:00:00Z,57.03,30.00,10.00,,
2025-11-14T12:00:00Z,56.00,30.00,10.00,,
2025-11-14T16:00:00Z,56.00,30.00,10.00,,
2025-11-14T17:00:00Z,56.00,30.00,10.00,,
2025-11-14T22:00:00Z,56.00,35.00,10.00,,
2025-11-15T02:00:00Z,56.00,35.00,10.00,,
2025-11-15T04:00:00Z,63.60,35.00,10.00,,
2025-11-15T07:00:00Z,63.60,35.88,10.00,,
2025-11-16T05:00:00Z,63.60,36.00,10.00,,
2025-11-16T21:00:00Z,63.60,36.00,10.00,,
2025-11-17T06:00:00Z,63.60,37.00,10.00,,
2025-11-17T09:00:00Z,63.00,37.00,10.00,,
2025-11-17T11:00:00Z,57.00,37.00,10.00,,
2025-11-17T15:00:00Z,57.00,37.00,10.00,,
2025-11-17T17:00:00Z,57.00,38.00,10.00,,
2025-11-17T18:00:00Z,57.00,39.51,10.00,,
2025-11-18T22:00:00Z,38.00,39.51,10.00,,
2025-11-18T23:00:00Z,38.00,39.00,10.00,,
2025-11-19T04:00:00Z,61.00,39.00,10.00,,
2025-11-19T18:00:00Z,58.95,39.81,10.00,,
2025-11-19T19:00:00Z,50.50,40.00,10.00,,
2025-11-19T20:00:00Z,48.00,45.40,10.00,,
2025-11-19T22:00:00Z,48.00,49.88,10.00,,
2025-11-19T23:00:00Z,48.00,49.00,10.00,,
2025-11-20T01:00:00Z,48.00,50.00,10.00,,
2025-11-20T12:00:00Z,48.00,49.00,10.00,,
2025-11-20T13:00:00Z,48.00,49.00,10.00,,
2025-11-20T14:00:00Z,44.00,50.00,10.00,,
2025-11-20T15:00:00Z,44.00,50.00,10.00,,
2025-11-20T18:00:00Z,41.08,50.00,10.00,,
2025-11-20T19:00:00Z,41.08,50.00,4.00,,
2025-11-20T23:00:00Z,41.08,45.00,4.00,,
